2018-12-27 14:39:44,812 [Worker-94] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2018-12-27 14:39:44,812 [Worker-94] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\android1808\dubboInterface\src\main\resources
2018-12-27 14:39:44,813 [Worker-94] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2018-12-27 14:39:44,813 [Worker-94] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\android1808\dubboInterface\src\test\resources
2018-12-27 14:40:22,610 [Worker-94] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2018-12-27 14:40:22,611 [Worker-94] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\android1808\dubboInterface\src\main\resources
2018-12-27 14:40:22,612 [Worker-94] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2018-12-27 14:40:22,612 [Worker-94] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\android1808\dubboInterface\src\test\resources
2018-12-27 14:40:37,204 [Worker-99] INFO  o.e.m.i.launch.MavenLaunchDelegate - D:\android1808\dubboInterface
2018-12-27 14:40:37,204 [Worker-99] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B -s D:\software\apache-maven-3.3.9\conf\settings.xml install
2018-12-27 14:40:43,841 [Worker-88] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2018-12-27 14:40:43,842 [Worker-88] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\android1808\dubboInterface\src\main\resources
2018-12-27 14:40:43,845 [Worker-88] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2018-12-27 14:40:43,846 [Worker-88] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\android1808\dubboInterface\src\test\resources
2018-12-27 14:41:33,203 [Worker-99] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Collecting project info '/pom.xml' D:\android1808\dubboprovider1\pom.xml
2018-12-27 14:41:33,277 [Worker-99] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.tedu:dubboprovider1:0.0.1-SNAPSHOT @ D:\android1808\dubboprovider1\pom.xml.
2018-12-27 14:41:33,434 [Worker-99] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /dubboprovider1/src/main/java
2018-12-27 14:41:33,438 [Worker-99] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /dubboprovider1/src/test/java
2018-12-27 14:41:33,507 [Worker-99] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Imported and configured 1 project(s) in 0 sec
2018-12-27 14:41:33,766 [Worker-97] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2018-12-27 14:41:33,766 [Worker-97] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\android1808\dubboprovider1\src\main\resources
2018-12-27 14:41:33,768 [Worker-97] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2018-12-27 14:41:33,768 [Worker-97] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\android1808\dubboprovider1\src\test\resources
2018-12-27 14:42:49,178 [Worker-96] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.tedu:dubboprovider1:0.0.1-SNAPSHOT @ D:\android1808\dubboprovider1\pom.xml.
2018-12-27 14:42:49,394 [Worker-96] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2018-12-27 14:42:49,395 [Worker-96] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\android1808\dubboprovider1\src\main\resources
2018-12-27 14:42:49,396 [Worker-96] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
